#b l mag_J_2MASS mag_H_2MASS mag_K_2MASS mag_IRAC1 mag_IRAC2 mag_IRAC3 mag_IRAC4
-2.017195 335.001711 13.783 12.484 11.971 11.708 11.797 11.536 11.774
-2.010586 335.04887 13.03 12.601 12.443 12.361 12.264 12.183 12.131
-1.97337 334.951023 13.475 12.452 12.169 11.867 11.882 11.629 11.786
-2.011964 334.953134 10.532 9.619 9.298 9.144 9.245 9.077 9.089
-1.945236 335.013217 13.774 13.129 12.799 12.619 12.546 12.507 12.516
-1.979183 334.955144 12.592 11.224 10.708 10.401 10.594 10.313 10.344
-2.023328 334.967242 12.704 11.775 11.366 11.302 11.4 11.192 11.270001
-1.970597 335.011633 13.308 12.3 11.922 11.665 11.606 11.528 11.428
-2.00205 334.937417 13.616 12.421 12.047 11.806 11.894 11.537 11.666
-2.00437 334.962044 12.798 12.36 12.274 12.139 12.16 12.002 12.194
-2.0146 335.046427 11.441 10.093 9.557 9.257 9.468 9.198 9.13
-2.063653 335.00682 10.654 9.315 8.804 8.533 8.677 8.451 8.398
-1.984545 335.03187 13.948 12.889 12.474 12.188 12.224 12.064 11.972
-2.046267 334.981353 12.167 10.834 10.404 10.097 10.133 10.029 10.037
-1.988578 335.012598 13.862001 12.973 12.604 12.316 12.396 12.189 12.215
-1.954408 334.988136 12.467 11.155 10.681 10.416 10.517 10.394 10.337
-2.047136 334.996132 14.031 12.759 12.312 11.959 12.107 11.84 11.693
-2.012772 334.999082 12.078 11.168 10.85 10.552 10.706 10.596 10.536
-2.008375 335.060461 14.12 12.923 12.473 12.13 12.187 11.965 11.979999
-2.029781 335.041188 14.364 13.472 13.114 12.909 12.945 12.461 12.44
-2.017336 334.992732 12.116 11.146 10.815 10.593 10.661 10.693 10.582
-1.980528 335.038243 13.299 12.14 11.726 11.421 11.4 11.42 11.421
-1.955206 335.019151 12.848 11.691 11.302 11.099 11.141 10.922 11.002
-2.038892 335.022221 13.538 12.792 12.504 12.327 12.173 11.807 12.262999
-1.995145 335.023402 10.153 9.367 9.043 8.797 8.847 8.841 8.756
-1.976875 334.967829 13.847 12.698 12.26 11.905 11.97 11.68 11.811
